Carimbo de data/hora,Em qual período você ingressou na Universidade?,Selecione abaixo as disciplinas que você já cursou ou está cursando atualmente,Você participou de projeto de disciplina em grupo no regime presencial?,Você participou em projeto de disciplina em grupo no regime remoto?,Qual foi a quantidade de membros do maior projeto em grupo que você participou em disciplinas da Universidade?,"Conflitos sobre prioridades do projeto, ou seja, sobre quais atividades e tarefas devem ser executadas e em que sequência.","Conflitos sobre gerenciamento, ou seja, sobre a definição da hierarquia, das responsabilidades, do plano de execução, do procedimento de comunicação de atividades, etc.","Conflitos sobre questões técnicas, ou seja, sobre quais tecnologias, algoritmos e otimizações utilizar.","Conflito sobre prazos, ou seja, sobre a duração e data de entrega de tarefas do projeto.","Conflitos sobre personalidades, ou seja, centrados nas diferenças interpessoais do grupo.",Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [1º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [2º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [3º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [4º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [5º],"Confronto (Confrontation): reconhecendo que a discordância existe e considerando os requisitos, debater para escolher a solução que mais está de acordo.","Negociação (Give and Take): reconhecendo que a discordância existe, produzir uma solução combinando partes das propostas dos membros envolvidos.","Evasão (Withdrawal): ignorar o problema ou reconhecer que ele existe, mas considerar que não vale o esforço da resolução.","Apaziguamento (Smoothing): reconhecendo que a discordância existe, escolher a solução daqueles mais envolvidos com a tarefa.","Imposição (Forcing): reconhecendo que a discordância existe, um membro de maior hierarquia (ex. gerente) impõe a solução.",Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [1º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [2º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [3º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [4º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [5º]
10/08/2021 18:38:54,2019.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,5,4,4,3,3,2,Prioridades,Gerenciamento,Prazos,Questões técnicas,Personalidade,5,5,3,2,2,Confronto,Negociação,Evasão,Apaziguamento,Imposição
10/08/2021 19:35:23,2016.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,10,4,2,3,1,1,Prioridades,Gerenciamento,Questões técnicas,Prazos,Personalidade,2,2,3,4,3,Negociação,Apaziguamento,Imposição,Evasão,Confronto
10/08/2021 19:43:43,2018.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,5,3,2,5,4,Questões técnicas,Personalidade,Gerenciamento,Prioridades,Prazos,4,5,3,4,2,Negociação,Apaziguamento,Evasão,Confronto,Imposição
10/08/2021 20:47:53,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,12,3,4,1,3,3,Gerenciamento,Personalidade,Prioridades,Prazos,Questões técnicas,4,3,4,3,3,Negociação,Apaziguamento,Confronto,Imposição,Evasão
10/08/2021 21:56:15,2019.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT)",Sim,Não,5,1,1,1,3,1,Personalidade,Prioridades,Prazos,Gerenciamento,Questões técnicas,5,5,1,1,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
10/08/2021 21:58:23,Anterior ou igual a 2015.2,Projeto em Computação II (P2),Sim,Sim,6,5,1,1,2,3,Personalidade,Questões técnicas,Gerenciamento,Prioridades,Prazos,2,3,4,3,2,Apaziguamento,Negociação,Confronto,Imposição,Evasão
11/08/2021 01:10:51,2020.1,Laboratório de Programação II (LP2),Não,Sim,5,4,5,1,4,3,Gerenciamento,Prazos,Prioridades,Personalidade,Questões técnicas,5,4,2,3,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
11/08/2021 06:26:08,2017.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,11,2,4,3,4,4,Prazos,Gerenciamento,Prioridades,Questões técnicas,Personalidade,4,2,5,4,4,Confronto,Negociação,Apaziguamento,Imposição,Evasão
11/08/2021 09:18:22,2016.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,6,2,2,4,5,1,Prazos,Questões técnicas,Prioridades,Gerenciamento,Personalidade,5,5,3,4,4,Confronto,Negociação,Apaziguamento,Imposição,Evasão
11/08/2021 11:26:24,2019.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Engenharia de Software (ES)",Sim,Sim,12,3,1,1,3,1,Gerenciamento,Personalidade,Prioridades,Prazos,Questões técnicas,4,4,1,2,1,Negociação,Confronto,Apaziguamento,Imposição,Evasão
11/08/2021 11:40:16,2018.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,2,4,5,5,5,Personalidade,Questões técnicas,Gerenciamento,Prazos,Prioridades,3,3,5,5,4,Apaziguamento,Negociação,Confronto,Evasão,Imposição
11/08/2021 17:41:18,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,11,3,3,3,4,3,Gerenciamento,Questões técnicas,Prioridades,Prazos,Personalidade,5,2,1,3,2,Negociação,Confronto,Imposição,Apaziguamento,Evasão
11/08/2021 18:02:43,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,5,3,2,3,4,2,Gerenciamento,Prioridades,Prazos,Questões técnicas,Personalidade,3,3,2,4,4,Confronto,Negociação,Apaziguamento,Imposição,Evasão
12/08/2021 08:17:17,2019.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP)",Sim,Sim,5,1,1,2,1,1,Gerenciamento,Prioridades,Questões técnicas,Prazos,Personalidade,4,4,1,3,1,Negociação,Confronto,Apaziguamento,Evasão,Imposição
12/08/2021 10:18:09,2019.2,"Laboratório de Programação II (LP2), Paradigmas de Linguagens Programação (PLP)",Não,Sim,Dividir responsabilidades do projeto,4,4,3,2,1,Gerenciamento,Questões técnicas,Personalidade,Prioridades,Prazos,5,4,3,3,4,Negociação,Imposição,Apaziguamento,Confronto,Evasão
12/08/2021 14:46:40,2016.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,10,3,4,5,4,5,Gerenciamento,Questões técnicas,Prazos,Personalidade,Prioridades,5,5,2,4,1,Confronto,Negociação,Imposição,Evasão,Apaziguamento
12/08/2021 16:23:57,2016.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,10,4,4,1,5,2,Prioridades,Gerenciamento,Prazos,Personalidade,Questões técnicas,5,5,2,4,1,Negociação,Confronto,Apaziguamento,Evasão,Imposição
